Data,#Samples,# Dimensions,Outlier Perc,ECF,IForest,MCD,OCSVM
arrhythmia,452,274,14.6018,0.8318099999999999,0.8169300000000002,0.77897,0.7811600000000001
cardio,1831,21,9.6122,0.90602,0.92149,0.82363,0.9348400000000001
glass,214,9,4.2056,0.75607,0.75404,0.78463,0.63236
ionosphere,351,33,35.8974,0.8830200000000001,0.8535,0.95594,0.8419199999999998
letter,1600,32,6.25,0.6333,0.62746,0.8075100000000001,0.61182
lympho,148,18,4.0541,0.9206499999999999,0.98953,0.9027199999999999,0.9758699999999999
mnist,7603,100,9.2069,0.7340100000000002,0.79574,0.85527,0.85289
musk,3062,166,3.1679,0.8789000000000001,0.99969,0.99983,1.0
optdigits,5216,64,2.8758,0.5572,0.7181400000000001,0.40338,0.49971999999999994
pendigits,6870,16,2.2707,0.8863199999999999,0.94472,0.8332099999999999,0.9303100000000001
pima,768,8,34.8958,0.66552,0.6798400000000001,0.67547,0.6215
satellite,6435,36,31.6395,0.65847,0.70845,0.80314,0.6622399999999999
satimage-2,5803,36,1.2235,0.9784099999999999,0.99535,0.9959899999999999,0.9978000000000001
shuttle,49097,9,7.1511,0.96695,0.99726,0.99031,0.9917200000000002
vertebral,240,6,12.5,0.44941,0.37858,0.39998000000000006,0.44308000000000003
vowels,1456,12,3.4341,0.91142,0.75606,0.7917200000000001,0.78021
wbc,378,30,5.5556,0.9116500000000001,0.9275399999999999,0.91752,0.9318899999999999
