Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,1.40862
cardio,1831,21,9.6122,4.394239999999999
glass,214,9,4.2056,0.10818000000000001
ionosphere,351,33,35.8974,0.97852
letter,1600,32,6.25,5.854750000000001
lympho,148,18,4.0541,0.35282
mnist,7603,100,9.2069,55.999489999999994
musk,3062,166,3.1679,9.56066
optdigits,5216,64,2.8758,27.60034
pendigits,6870,16,2.2707,17.42772
pima,768,8,34.8958,0.20415999999999998
satellite,6435,36,31.6395,37.87219
satimage-2,5803,36,1.2235,32.141
shuttle,49097,9,7.1511,270.55017999999995
vertebral,240,6,12.5,0.07211
vowels,1456,12,3.4341,0.5335000000000001
wbc,378,30,5.5556,0.44692999999999994
