Data,#Samples,# Dimensions,Outlier Perc,ECF,IForest,MCD,OCSVM
arrhythmia,452,274,14.6018,0.9730800000000001,0.56614,4.95009,0.07886000000000001
cardio,1831,21,9.6122,1.59677,0.48751000000000005,2.35048,0.13337
glass,214,9,4.2056,0.07987999999999999,0.34745,0.06648000000000001,0.00261
ionosphere,351,33,35.8974,0.60339,0.36906999999999995,0.91605,0.0112
letter,1600,32,6.25,3.19712,0.44252,18.47567,0.12445000000000002
lympho,148,18,4.0541,0.12824,0.36146000000000006,0.16129,0.00723
mnist,7603,100,9.2069,55.63338,1.6999600000000001,17.36967,4.48229
musk,3062,166,3.1679,10.844579999999999,1.02511,39.3087,1.08686
optdigits,5216,64,2.8758,26.186220000000002,0.8920999999999999,9.57188,1.34775
pendigits,6870,16,2.2707,8.72347,0.6748000000000001,7.86965,1.0440899999999997
pima,768,8,34.8958,0.12116,0.3406199999999999,0.06352,0.0113
satellite,6435,36,31.6395,38.07182999999999,0.7609600000000001,26.739710000000002,1.3687299999999998
satimage-2,5803,36,1.2235,30.742919999999998,0.66772,23.400820000000003,1.1183999999999998
shuttle,49097,9,7.1511,149.00748000000002,2.57476,12.59434,51.10478
vertebral,240,6,12.5,0.031020000000000002,0.26731,0.05238,0.0020000000000000005
vowels,1456,12,3.4341,0.33274,0.35367000000000004,1.95775,0.07616999999999999
wbc,378,30,5.5556,0.36095,0.28952000000000006,0.16280999999999998,0.010239999999999999
