Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,0.5557700000000001
cardio,1831,21,9.6122,0.41407
glass,214,9,4.2056,0.12261999999999999
ionosphere,351,33,35.8974,0.8145300000000001
letter,1600,32,6.25,0.30202999999999997
lympho,148,18,4.0541,0.7516700000000001
mnist,7603,100,9.2069,0.35923
musk,3062,166,3.1679,0.07346
optdigits,5216,64,2.8758,0.0
pendigits,6870,16,2.2707,0.07933
pima,768,8,34.8958,0.50775
satellite,6435,36,31.6395,0.51741
satimage-2,5803,36,1.2235,0.44454000000000005
shuttle,49097,9,7.1511,0.61539
vertebral,240,6,12.5,0.0329
vowels,1456,12,3.4341,0.52591
wbc,378,30,5.5556,0.44819
