Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,0.7720100000000001
cardio,1831,21,9.6122,0.86392
glass,214,9,4.2056,0.8112
ionosphere,351,33,35.8974,0.73515
letter,1600,32,6.25,0.5210999999999999
lympho,148,18,4.0541,0.9304500000000001
mnist,7603,100,9.2069,0.6399999999999999
musk,3062,166,3.1679,0.8805999999999999
optdigits,5216,64,2.8758,0.5494299999999999
pendigits,6870,16,2.2707,0.91862
pima,768,8,34.8958,0.59975
satellite,6435,36,31.6395,0.65493
satimage-2,5803,36,1.2235,0.9804
shuttle,49097,9,7.1511,0.9627800000000001
vertebral,240,6,12.5,0.43516000000000005
vowels,1456,12,3.4341,0.6404500000000001
wbc,378,30,5.5556,0.8792199999999999
